Year;CoarseSand_gperkg;LightSand_gperkg;CoarseLimestone_gperkg;LightLimestone_gperkg;Clay_gperkg;Corg_gperkg;OrganicMatter_gperkg;NitrogenTot_gparkg;pH_water;CaTot_gparkg;CaAct_gparkg
2011;NA;NA;NA;NA;393;29.42;50.6;;8.5;376;NA
2019;108;94;114;213;471;29.6;51;3;7.82;362;NA
1978;146;86;91;205;472;29.7;51.084;2.46;7.75;NA;NA
2007;NA;NA;NA;NA;NA;32.4;55.8;1.9;8.45;191;NA
1960;80;40;95;227;515;33.8;58;;7.2;190;70
1961;80;30;100;260;530;34.4;59;2.1;6.8;NA;NA
1958;20;40;150;285;445;35.7;62;3.4;8.5;200;135
1961;68;51;91;150;577;36.6;63;;7.9;133;NA
1959;50;30;290;340;220;41.2;71;4.3;8.2;180;120
1960;126;71;104;503;120;44.2;76;;7.9;303;NA
2001;NA;NA;NA;NA;NA;5.23;9;;8.22;NA;NA
2017;NA;NA;NA;NA;NA;6.64;11.49;0.61;8.1;NA;NA
2015;NA;NA;NA;NA;NA;7.06;12.21;0.78;7.32;NA;NA
2015;NA;NA;NA;NA;NA;7.61627906976744;13.1;;;NA;NA
2015;NA;NA;NA;NA;NA;7.89;13.65;0.75;8.2;NA;NA
2015;NA;NA;NA;NA;NA;8.31395348837209;14.3;;;NA;NA
2017;NA;NA;NA;NA;NA;8.7;15.05;0.83;7.85;NA;NA
2019;NA;NA;NA;NA;NA;8.7;15;1.3;8.05;NA;NA
2015;NA;NA;NA;NA;NA;8.77906976744186;15.1;;;NA;NA
2016;NA;NA;NA;NA;NA;9.07;15.69;0.86;8.2;NA;NA
2016;NA;NA;NA;NA;NA;9.3;16.09;0.93;8;NA;NA
2017;NA;NA;NA;NA;NA;9.69;16.76;0.94;7.9;NA;NA
2016;NA;NA;NA;NA;NA;9.8;16.95;1.12;6.6;NA;NA
2017;NA;NA;NA;NA;NA;9.93;17.18;0.95;7.7;NA;NA
2017;NA;NA;NA;NA;NA;9.94;17.2;0.9;8.3;NA;NA
2015;NA;NA;NA;NA;NA;16.28;28;;8.1;NA;NA
2015;NA;NA;NA;NA;NA;15.41;26.5;;7.9;NA;NA
2015;NA;NA;NA;NA;NA;14.42;24.8;;8.1;NA;NA
2015;NA;NA;NA;NA;NA;18.31;31.5;;7.9;NA;NA
2015;NA;NA;NA;NA;NA;16.51;28.4;;8.1;NA;NA
2015;NA;NA;NA;NA;NA;22.5;38.7;;8;NA;NA
2015;NA;NA;NA;NA;NA;17.67;30.4;;7.8;NA;NA
2015;NA;NA;NA;NA;NA;21.98;37.8;;8.4;NA;NA
2015;NA;NA;NA;NA;NA;23.2;39.9;;8.2;NA;NA
2015;NA;NA;NA;NA;NA;21.63;37.2;;8.4;NA;NA
